,日付,始値,高値,安値,終値,出来高,終値調整
0,2010-01-04,185.0,187.0,184.0,187.0,86000.0,1870.0
1,2010-01-05,187.0,188.0,186.0,186.0,82000.0,1860.0
2,2010-01-06,188.0,188.0,186.0,188.0,106000.0,1880.0
3,2010-01-07,188.0,191.0,187.0,190.0,185000.0,1900.0
4,2010-01-08,190.0,191.0,189.0,190.0,103000.0,1900.0
5,2010-01-12,190.0,192.0,189.0,189.0,207000.0,1890.0
6,2010-01-13,191.0,191.0,188.0,188.0,219000.0,1880.0
7,2010-01-14,190.0,191.0,189.0,189.0,123000.0,1890.0
8,2010-01-15,189.0,191.0,189.0,191.0,105000.0,1910.0
9,2010-01-18,189.0,191.0,189.0,190.0,111000.0,1900.0
10,2010-01-19,190.0,193.0,189.0,191.0,214000.0,1910.0
11,2010-01-20,192.0,192.0,190.0,191.0,136000.0,1910.0
12,2010-01-21,191.0,192.0,190.0,190.0,171000.0,1900.0
13,2010-01-22,190.0,190.0,189.0,189.0,124000.0,1890.0
14,2010-01-25,189.0,191.0,189.0,190.0,136000.0,1900.0
15,2010-01-26,190.0,191.0,188.0,188.0,159000.0,1880.0
16,2010-01-27,188.0,190.0,188.0,188.0,136000.0,1880.0
17,2010-01-28,189.0,190.0,188.0,188.0,114000.0,1880.0
18,2010-01-29,188.0,189.0,187.0,187.0,124000.0,1870.0
19,2010-02-01,187.0,188.0,186.0,188.0,128000.0,1880.0
20,2010-02-02,188.0,190.0,187.0,188.0,124000.0,1880.0
21,2010-02-03,190.0,191.0,189.0,191.0,128000.0,1910.0
22,2010-02-04,192.0,192.0,190.0,191.0,158000.0,1910.0
23,2010-02-05,189.0,190.0,188.0,189.0,104000.0,1890.0
24,2010-02-08,189.0,190.0,188.0,188.0,156000.0,1880.0
25,2010-02-09,188.0,190.0,188.0,189.0,190000.0,1890.0
26,2010-02-10,190.0,191.0,188.0,189.0,165000.0,1890.0
27,2010-02-12,189.0,190.0,188.0,189.0,147000.0,1890.0
28,2010-02-15,190.0,191.0,189.0,189.0,127000.0,1890.0
29,2010-02-16,190.0,191.0,189.0,190.0,81000.0,1900.0
30,2010-02-17,191.0,193.0,190.0,192.0,140000.0,1920.0
31,2010-02-18,192.0,196.0,192.0,195.0,469000.0,1950.0
32,2010-02-19,195.0,195.0,191.0,192.0,297000.0,1920.0
33,2010-02-22,193.0,194.0,192.0,193.0,188000.0,1930.0
34,2010-02-23,193.0,194.0,192.0,194.0,176000.0,1940.0
35,2010-02-24,194.0,194.0,193.0,193.0,99000.0,1930.0
36,2010-02-25,194.0,194.0,193.0,194.0,137000.0,1940.0
37,2010-02-26,194.0,195.0,193.0,195.0,134000.0,1950.0
38,2010-03-01,195.0,198.0,194.0,196.0,318000.0,1960.0
39,2010-03-02,196.0,200.0,196.0,198.0,474000.0,1980.0
40,2010-03-03,199.0,199.0,197.0,198.0,264000.0,1980.0
41,2010-03-04,199.0,199.0,196.0,196.0,252000.0,1960.0
42,2010-03-05,198.0,199.0,197.0,198.0,193000.0,1980.0
43,2010-03-08,200.0,200.0,198.0,200.0,202000.0,2000.0
44,2010-03-09,200.0,200.0,199.0,199.0,238000.0,1990.0
45,2010-03-10,200.0,201.0,200.0,200.0,293000.0,2000.0
46,2010-03-11,203.0,204.0,201.0,203.0,445000.0,2030.0
47,2010-03-12,203.0,204.0,202.0,203.0,325000.0,2030.0
48,2010-03-15,204.0,206.0,203.0,204.0,380000.0,2040.0
49,2010-03-16,205.0,205.0,203.0,204.0,319000.0,2040.0
50,2010-03-17,205.0,207.0,205.0,206.0,342000.0,2060.0
51,2010-03-18,208.0,209.0,207.0,209.0,321000.0,2090.0
52,2010-03-19,208.0,209.0,206.0,208.0,355000.0,2080.0
53,2010-03-23,209.0,211.0,208.0,211.0,367000.0,2110.0
54,2010-03-24,210.0,212.0,210.0,212.0,540000.0,2120.0
55,2010-03-25,213.0,214.0,212.0,213.0,491000.0,2130.0
56,2010-03-26,212.0,213.0,212.0,213.0,1101000.0,2130.0
57,2010-03-29,204.0,205.0,201.0,202.0,887000.0,2020.0
58,2010-03-30,199.0,200.0,196.0,199.0,627000.0,1990.0
59,2010-03-31,199.0,199.0,197.0,199.0,324000.0,1990.0
60,2010-04-01,199.0,199.0,196.0,198.0,496000.0,1980.0
61,2010-04-02,198.0,198.0,196.0,197.0,201000.0,1970.0
62,2010-04-05,196.0,197.0,193.0,194.0,552000.0,1940.0
63,2010-04-06,193.0,194.0,193.0,193.0,310000.0,1930.0
64,2010-04-07,193.0,196.0,193.0,195.0,324000.0,1950.0
65,2010-04-08,195.0,196.0,193.0,194.0,343000.0,1940.0
66,2010-04-09,194.0,195.0,193.0,195.0,226000.0,1950.0
