,日付,始値,高値,安値,終値,出来高,終値調整
0,2010-01-04,922.0,929.0,922.0,923.0,809800.0,923.0
1,2010-01-05,936.0,939.0,927.0,928.0,528400.0,928.0
2,2010-01-06,936.0,942.0,930.0,942.0,180200.0,942.0
3,2010-01-07,943.0,946.0,939.0,940.0,54500.0,940.0
4,2010-01-08,948.0,952.0,943.0,952.0,169400.0,952.0
5,2010-01-12,954.0,966.0,952.0,966.0,140100.0,966.0
6,2010-01-13,957.0,965.0,953.0,955.0,145700.0,955.0
7,2010-01-14,958.0,969.0,958.0,969.0,82000.0,969.0
8,2010-01-15,970.0,976.0,969.0,976.0,132700.0,976.0
9,2010-01-18,966.0,971.0,964.0,967.0,74800.0,967.0
10,2010-01-19,966.0,967.0,958.0,960.0,75900.0,960.0
11,2010-01-20,969.0,969.0,952.0,954.0,103000.0,954.0
12,2010-01-21,954.0,969.0,947.0,967.0,512300.0,967.0
13,2010-01-22,955.0,955.0,942.0,949.0,193500.0,949.0
14,2010-01-25,940.0,948.0,934.0,943.0,148300.0,943.0
15,2010-01-26,944.0,948.0,927.0,927.0,107000.0,927.0
16,2010-01-27,927.0,929.0,917.0,918.0,99900.0,918.0
17,2010-01-28,928.0,930.0,918.0,925.0,520700.0,925.0
18,2010-01-29,919.0,920.0,910.0,912.0,832300.0,912.0
19,2010-02-01,909.0,909.0,901.0,909.0,123800.0,909.0
20,2010-02-02,914.0,923.0,912.0,921.0,78500.0,921.0
21,2010-02-03,929.0,932.0,924.0,927.0,156600.0,927.0
22,2010-02-04,927.0,928.0,913.0,921.0,101900.0,921.0
23,2010-02-05,902.0,905.0,897.0,901.0,158400.0,901.0
24,2010-02-08,895.0,902.0,891.0,893.0,1682200.0,893.0
25,2010-02-09,888.0,893.0,886.0,890.0,144800.0,890.0
26,2010-02-10,896.0,899.0,892.0,894.0,70600.0,894.0
27,2010-02-12,901.0,902.0,897.0,901.0,74700.0,901.0
28,2010-02-15,904.0,904.0,893.0,893.0,91500.0,893.0
29,2010-02-16,894.0,896.0,893.0,895.0,44400.0,895.0
30,2010-02-17,904.0,915.0,904.0,915.0,105100.0,915.0
31,2010-02-18,918.0,918.0,911.0,915.0,68200.0,915.0
32,2010-02-19,914.0,915.0,898.0,899.0,75700.0,899.0
33,2010-02-22,911.0,925.0,911.0,919.0,414900.0,919.0
