code,name,short_name,market,unit,sector
1301,極洋,1301極洋,東証１,100,水産・農林業
1305,ダイワ上場投信－トピックス,1305大和東証指数,東証Ｅ,10,ETF銘柄一覧
1306,ＴＯＰＩＸ連動型上場投資信託,1306野村東証指数,東証Ｅ,10,ETF銘柄一覧
1308,上場インデックスファンドＴＯＰＩＸ,1308日興東証指数,東証Ｅ,100,ETF銘柄一覧
1309,ＮＥＸＴ　ＦＵＮＤＳ上証５０連動型,1309野村上証５０,東証Ｅ,1,ETF銘柄一覧
1311,ＴＯＰＩＸ　Ｃｏｒｅ　３０　連動型上場投資信託,1311野村コア３０,東証Ｅ,10,ETF銘柄一覧
1312,ラッセル野村小型コアインデックス連動型上場投信,1312野村ＲＮ小型,東証Ｅ,1,ETF銘柄一覧
1313,サムスンＫＯＤＥＸ２００証券上場指数投資信託,1313ＫＤＸ２００,東証Ｅ,10,ETF銘柄一覧
1319,日経３００上場投信,1319日経３００上場投信,東証Ｅ,1000,ETF銘柄一覧
1320,ダイワ上場投信－日経２２５,1320大和日経平均,東証Ｅ,1,ETF銘柄一覧
1321,日経２２５連動型上場投資信託,1321野村日経平均,東証Ｅ,1,ETF銘柄一覧
1322,上場中国Ａ株パンダ,1322上場中国Ａ株パンダ,東証Ｅ,10,ETF銘柄一覧
1323,ＮＥＸＴ　南アフリカ株式指数,1323野村南ア４０,東証Ｅ,100,ETF銘柄一覧
1324,ＮＥＸＴ　ロシア株式指数,1324野村ＲＴＳ,東証Ｅ,100,ETF銘柄一覧
1325,ＮＥＸＴ　ブラジル株式指数ボベスパ連動型上場投信,1325野村ボベスパ,東証Ｅ,100,ETF銘柄一覧
1326,ＳＰＤＲゴールド・シェア,1326ＳＰＤＲ,東証Ｅ,1,ETF銘柄一覧
1327,Ｓ＆ＰＧＳＣＩ商品指数,1327Ｓ＆ＰＧＳＣＩ商品指数,東証Ｅ,1,ETF銘柄一覧
1328,金価格連動型上場投資信託,1328野村金連動,東証Ｅ,10,ETF銘柄一覧
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,1329ｉＳ日経,東証Ｅ,1,ETF銘柄一覧
1330,上場インデックスファンド２２５,1330日興日経平均,東証Ｅ,10,ETF銘柄一覧
1332,日本水産,1332日本水産,東証１,100,水産・農林業
1333,マルハニチロ,1333マルハニチロ,東証１,100,水産・農林業
1343,ＮＥＸＴ　ＲＥＩＴ,1343ＮＥＸＴ　ＲＥＩＴ,東証Ｅ,10,ETF銘柄一覧
1344,ＭＡＸＩＳ　コア３０,1344ＭＡＸＩＳ　コア３０,東証Ｅ,10,ETF銘柄一覧
1345,上場ファンドＪリート,1345上場ファンドＪリート,東証Ｅ,100,ETF銘柄一覧
1346,ＭＡＸＩＳ日経２２５上場投信,1346ＭＸ２２５,東証Ｅ,1,ETF銘柄一覧
1348,ＭＡＸＩＳトピックス上場投信,1348ＭＸトピクス,東証Ｅ,10,ETF銘柄一覧
1349,ＡＢＦ汎アジア債券インデックス・ファンド,1349アジア債券,東証Ｅ,1,ETF銘柄一覧
1352,ホウスイ,1352ホウスイ,東証１,100,卸売業
1356,ＴＯＰＩＸベア２倍上場投信,1356ＴＰＸベア２,東証Ｅ,10,ETF銘柄一覧
1357,ＮＥＸＴ　日経平均ダブルインバース・インデックス,1357日経Ｄインバ,東証Ｅ,1,ETF銘柄一覧
1358,上場インデックスファンド日経レバレッジ指数,1358日経２倍,東証Ｅ,1,ETF銘柄一覧
1360,日経平均ベア２倍上場投信,1360日経ベア２,東証Ｅ,10,ETF銘柄一覧
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,1364ｉシェア４百,東証Ｅ,1,ETF銘柄一覧
1365,ダイワ日経レバレッジ・インデックス,1365大和日経レバ,東証Ｅ,1,ETF銘柄一覧
1366,ダイワ日経ダブルインバース・インデックス,1366大和日経Ｄイ,東証Ｅ,1,ETF銘柄一覧
1367,ダイワＴＰＸレバレッジ（２倍）指数,1367大和ＴＰレバ,東証Ｅ,1,ETF銘柄一覧
1368,ダイワＴＰＸダブルインバース（－２倍）指数,1368大和ＴＰＤイ,東証Ｅ,1,ETF銘柄一覧
1369,Ｏｎｅ　ＥＴＦ　日経２２５,1369Ｏｎｅ２２５,東証Ｅ,1,ETF銘柄一覧
1376,カネコ種苗,1376カネコ種苗,東証１,100,水産・農林業
1377,サカタのタネ,1377サカタのタネ,東証１,100,水産・農林業
1379,ホクト,1379ホクト,東証１,100,水産・農林業
1380,秋川牧園,1380秋川牧園,ＪＱ,100,水産・農林業
1381,アクシーズ,1381アクシーズ,ＪＱ,100,水産・農林業
1382,ホーブ,1382ホーブ,ＪＱ,100,水産・農林業
1383,ベルグアース,1383ベルグアース,ＪＱ,100,水産・農林業
1384,ホクリヨウ,1384ホクリヨウ,東証１,100,水産・農林業
1385,ＵＢＳ　ユーロ圏大型株５０,1385ＵＢＳ欧５０,東証Ｅ,1,ETF銘柄一覧
1386,ＵＢＳ　欧州株,1386ＵＢＳ　欧州株,東証Ｅ,1,ETF銘柄一覧
1387,ＵＢＳ　ユーロ圏株,1387ＵＢＳ　ユーロ圏株,東証Ｅ,1,ETF銘柄一覧
1388,ＵＢＳ　ユーロ圏小型株,1388ＵＢＳ　ユーロ圏小型株,東証Ｅ,1,ETF銘柄一覧
1389,ＵＢＳ　英国大型株,1389ＵＢＳ　英国大型株,東証Ｅ,1,ETF銘柄一覧
1390,ＵＢＳ　アジア太平洋株,1390ＵＢＳ　アジア太平洋株,東証Ｅ,1,ETF銘柄一覧
1391,ＵＢＳ　スイス株,1391ＵＢＳ　スイス株,東証Ｅ,1,ETF銘柄一覧
1392,ＵＢＳ　英国株,1392ＵＢＳ　英国株,東証Ｅ,1,ETF銘柄一覧
1393,ＵＢＳ　米国株,1393ＵＢＳ　米国株,東証Ｅ,1,ETF銘柄一覧
1394,ＵＢＳ　先進国株,1394ＵＢＳ　先進国株,東証Ｅ,1,ETF銘柄一覧
1397,ＳＭＤＡＭ　日経２２５,1397ＳＭＤＡＭ　日経２２５,東証Ｅ,1,ETF銘柄一覧
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数,1398ＳＭＤリート,東証Ｅ,10,ETF銘柄一覧
1399,インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,1399日興高配低ボ,東証Ｅ,10,ETF銘柄一覧
1400,ルーデン・ホールディングス,1400ルーデン,ＪＱＧ,100,建設業
1401,エムビーエス,1401エムビーエス,東証Ｍ,100,建設業
1407,ウエストホールディングス,1407ウエストＨＤ,ＪＱ,100,建設業
1413,ヒノキヤグループ,1413ヒノキヤグループ,東証１,100,建設業
1414,ショーボンドホールディングス,1414ショーボンド,東証１,100,建設業
1417,ミライト・ホールディングス,1417ミライトＨＤ,東証１,100,建設業
1418,インターライフホールディングス,1418インタライフ,ＪＱ,100,建設業
1419,タマホーム,1419タマホーム,東証１,100,建設業
1420,サンヨーホームズ,1420サンヨーホームズ,東証１,100,建設業
1429,日本アクア,1429日本アクア,東証１,100,建設業
1430,ファーストコーポレーション,1430１ｓｔコーポ,東証１,100,建設業
1431,Ｌｉｂ　Ｗｏｒｋ,1431Ｌｉｂ　Ｗｏｒｋ,東証Ｍ,100,建設業
1432,動　力,1432動　力,東証,100,
1433,ベステラ,1433ベステラ,東証１,100,建設業
1434,ＪＥＳＣＯホールディングス,1434ＪＥＳＣＯ,東証２,100,建設業
1435,ＴＡＴＥＲＵ,1435ＴＡＴＥＲＵ,東証１,100,建設業
1436,フィット,1436フィット,東証Ｍ,100,建設業
1438,岐阜造園,1438岐阜造園,名証２,100,建設業
1439,安江工務店,1439安江工務店,ＪＱ,100,建設業
1440,やまぜんＨｓ,1440やまぜんＨｓ,東証,100,
1443,技研ホールディングス,1443技研ホールディングス,東証２,100,建設業
1444,ニッソウ,1444ニッソウ,東証,100,
1445,ひかりＨＤ,1445ひかりＨＤ,東証,100,
